id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,num_published_practice_tests,created,published_time,discounted_price_amount,price_detail_amount,currency
596786,Airbnb Entrepreneur : Become the Best Listing in Town!,/course/airbnb-success/,TRUE,3254,4.8125,4.81559,749,27,0,29-08-2015,17-09-2015,455,8640,INR
1128250,A Brief Guide to Business Continuity and Disaster Recovery,/course/bcp-and-drp/,TRUE,1945,4.32468,4.27958,750,14,0,27-02-2017,18-06-2017,455,1280,INR
580110,An Introduction to Emotional Intelligence,/course/introduction-to-emotional-intelligence/,TRUE,3934,4.36986,4.35056,751,42,0,11-08-2015,14-08-2015,455,3200,INR
1053272,Finance Training for Financial Analysts,/course/the-financial-analyst-skills-training-fast-course-2017/,TRUE,4605,4.43925,4.42382,748,143,0,28-12-2016,02-01-2017,455,8640,INR
756448,Work From Home: Sell Wholesale Products Using Amazon FBA,/course/work-from-home-sell-wholesale-products-using-amazon-fba/,TRUE,3541,4.48276,4.46919,747,26,0,08-02-2016,06-04-2016,468,8000,INR
1336302,Setting and Achieving Goals,/course/setting-and-achieving-goals/,TRUE,2496,4.37329,4.39887,746,30,0,31-08-2017,31-08-2017,455,8640,INR
415612,Employment Law Compliance Made Easy,/course/people-law-101-the-abcs-of-employment-law/,TRUE,3175,4.45745,4.45349,747,26,0,07-02-2015,08-07-2015,455,1280,INR
1238114,Managing mental health issues in the workplace,/course/understanding-and-managing-mental-health-in-the-workplace/,TRUE,2452,4.125,4.03968,744,12,0,01-06-2017,06-06-2017,455,2880,INR
1426968,Onboarding New Employees: Increase retention and performance,/course/onboarding-new-employees-increase-retention-and-performance/,TRUE,7114,4.27434,4.27076,744,17,0,09-11-2017,15-11-2017,455,6400,INR
1756622,LinkedIn Intro for Freelancers | Master Your Profile,/course/linkedin-for-freelancers/,TRUE,19302,4.71429,4.75876,740,21,0,19-06-2018,01-08-2018,455,1280,INR
1420274,Microsoft Power BI Masterclass - Expand Excellence,/course/microsoft-power-bi-masterclass-expand-excellence/,TRUE,4304,4.52979,4.52084,739,27,0,03-11-2017,06-11-2017,455,8640,INR
1210972,The Ultimate Guide for Land Surveying with Drones - Part 1,/course/land-surveying-with-drones-fly-process-analyze-1/,TRUE,3211,4.19444,4.14391,735,36,0,10-05-2017,15-05-2017,455,6400,INR
2102170,PMP Exam Preparation Course: 35 Contact Hours for PMI,/course/pmp-exam-perpetration-course-35-contact-hours-for-pmi/,TRUE,1961,4.46346,4.46799,738,232,1,22-12-2018,31-07-2019,455,1280,INR
1213026,Become A Freelance Social Media Manager - Home Business,/course/freelance-social-media-manager/,TRUE,4681,4.29365,4.30212,737,46,0,11-05-2017,30-05-2017,468,8640,INR
52153,How To Start A T Shirt Transfer Printing Business From Home,/course/how-to-start-a-t-shirt-transfer-printing-business-from-home/,TRUE,3060,4.30208,4.34536,734,8,0,03-05-2013,06-05-2013,455,2240,INR
784508,Copywriting - Become a Freelance Copywriter In 7 Days,/course/copywritingsystem/,TRUE,9289,4.4,4.39081,733,26,0,07-03-2016,09-06-2016,494,9280,INR
1774414,Management Crash Course: Tactical Training for New Managers,/course/management-course-practical-training-for-new-managers/,TRUE,4438,4.43269,4.43413,728,38,0,29-06-2018,16-07-2018,455,8640,INR
1395566,"Cryptocurrency Investment Fundamentals | Buy, Sell & Store",/course/buying-and-investing-in-cryptocurrencies-for-australians/,TRUE,6791,4.63953,4.72294,724,62,0,15-10-2017,29-11-2017,2400,8640,INR
48018,Screenwriting Workshop,/course/screenwriting-workshop/,TRUE,5201,4.52174,4.50793,724,51,0,31-03-2013,29-09-2013,455,8640,INR
122352,Crack Cold Emailing to Increase Sales and Grow Your Business,/course/cold-emailing/,TRUE,16868,4,3.98262,722,59,0,20-11-2013,14-12-2013,455,8640,INR
1278166,How to Find & Correct Writing Errors: The Proofreading Guide,/course/the-ultimate-guide-to-proofreading/,TRUE,2870,4.24272,4.22833,722,19,0,03-07-2017,06-07-2017,455,8640,INR
1326708,MBA ASAP Corporate Finance Fundamentals,/course/corporate-finance-fundementals/,TRUE,2064,4.37785,4.35354,726,61,0,20-08-2017,04-09-2017,455,1280,INR
1529116,Commercial Real Estate Investing 101,/course/commercial-real-estate-investing-101/,TRUE,4683,4.58333,4.58556,722,84,0,28-01-2018,05-02-2018,455,8640,INR
579158,CompTIA Project+ Exam Prep,/course/comptia-project-exam-prep/,TRUE,5045,4.38158,4.38788,720,124,0,10-08-2015,18-08-2015,462,8640,INR
1565564,20 Ways To Make Money Online,/course/make-money-online-2018/,TRUE,34971,3.41176,3.42313,720,23,0,22-02-2018,22-02-2018,455,1280,INR
2503124,PMP: The Complete PMP Course & Practice Exam PMI PMBOK 6 '20,/course/complete-pmp/,TRUE,5166,4.325,4.36966,721,160,1,10-08-2019,24-12-2019,455,8640,INR
692300,Lean Six Sigma White Belt,/course/lean-six-sigma-white-belt/,TRUE,3635,4.37692,4.36329,716,54,0,08-12-2015,10-12-2015,455,1600,INR
2676528,Root Cause Analysis and the 8D Corrective Action Process,/course/root-cause-analysis-and-the-8d-corrective-action-process/,TRUE,2592,4.43134,4.49099,713,73,0,27-11-2019,25-12-2019,455,4800,INR
758764,Personal Development Life Coach Certification1 Life Coaching,/course/1-personal-development-life-coaching-certification/,TRUE,4255,4.03125,4.01147,712,93,0,10-02-2016,04-03-2016,455,8640,INR
1190362,Retail for Business Analysts and Management Consultants,/course/retail-for-business-analysts-and-management-consultants/,TRUE,5405,4.41544,4.22471,712,109,0,23-04-2017,28-05-2017,455,5760,INR
2507704,Diversity & Inclusion: Building a Grassroots Foundation,/course/diversity-inclusion-building-a-grassroots-foundation/,TRUE,2952,4.49455,4.54488,714,28,0,13-08-2019,20-08-2019,0,12800,INR
